,DATE,Is_Recession,PAYEMS,FEDFUNDS,3MTB_SECONDARYMKT,GS1,GS5,GS10,CPI,DEBT_PUB,SP500,INDPRO,UNRATE,10Y3MTH_SPREAD,FEDFUNDS_ROLMEAN3,INDPRO_ROLMEAN3,UNRATE_ROLMEAN3,PAYEMS_3MTHCHANGE,10Y3MTH_SPREAD_3MTHCHANGE,INDPRO_3MTHCHANGE
198,1982-07-01,1,-344.0,-1.5600000000000005,-1.120000000000001,-0.8300000000000001,-0.35999999999999943,-0.3500000000000014,-0.737145685814505,1.5231700000000004,-2.519999999999996,-0.1554000000000002,0.20000000000000107,0.7699999999999996,-0.7833333333333314,-0.21629999999998972,0.16666666666666607,-0.000685378749968435,0.6713747645951027,0.005628378964842695
199,1982-08-01,1,-158.0,-2.4700000000000006,-2.67,-1.8100000000000005,-1.0700000000000003,-0.8899999999999988,-0.310335712397569,0.0,12.420000000000002,-0.43650000000000233,0.0,1.7800000000000011,-1.4433333333333316,-0.2535666666666714,0.13333333333333286,-0.0012795900672006866,0.6405228758169956,-0.0023131221469810948
200,1982-09-01,1,-180.0,0.19000000000000128,-0.7599999999999998,-0.5800000000000001,-0.75,-0.7200000000000006,-0.00041991444243200116,0.0,0.9099999999999966,-0.151299999999992,0.29999999999999893,0.03999999999999915,-1.2799999999999994,-0.24773333333333625,0.16666666666666785,0.0006676886691616701,-0.44744455159113006,0.00029896306746868273
201,1982-10-01,1,-276.0,-0.5999999999999996,-0.20999999999999996,-1.5299999999999994,-1.4499999999999993,-1.4299999999999997,0.101726847210039,1.2562599999999975,13.299999999999997,-0.4386000000000081,0.3000000000000007,-1.2199999999999998,-0.9599999999999991,-0.3421333333333294,0.1999999999999993,0.0007304356345114726,-1.1845313156788564,-0.005731570154339782
202,1982-11-01,1,-121.0,-0.5100000000000016,0.3600000000000003,-0.16000000000000014,-0.41999999999999993,-0.35999999999999943,-0.510101125675855,0.0,4.810000000000002,-0.19539999999999935,0.40000000000000036,-0.7199999999999998,-0.30666666666666664,-0.2617666666666665,0.33333333333333215,0.00040191490113450357,-0.6645591851071306,0.004700662743251982
203,1982-12-01,0,-15.0,-0.25,-0.1299999999999999,-0.25,-0.16000000000000014,-0.010000000000001563,-0.20449727752608202,0.0,2.109999999999985,-0.34959999999999525,0.0,0.11999999999999833,-0.4533333333333349,-0.3278666666666652,0.23333333333333428,0.001837096464828547,0.02202524845554632,-0.004077241410674892
204,1983-01-01,0,219.0,-0.2699999999999996,-0.08000000000000007,-0.2900000000000009,-0.19000000000000128,-0.0799999999999983,0.61308129809301,0.6475500000000025,4.660000000000025,0.933799999999998,-0.40000000000000036,1.7763568394002505e-15,-0.3433333333333337,0.12959999999999638,0.0,0.0055532743067766566,0.22426470588235337,0.027950581443807243
205,1983-02-01,0,-73.0,-0.16999999999999993,0.2499999999999991,0.3000000000000007,0.23000000000000043,0.2599999999999998,-0.10266854403432905,0.0,2.759999999999991,-0.30740000000000123,0.0,0.010000000000000675,-0.23000000000000043,0.09226666666667427,-0.13333333333333464,0.0005418980552593933,0.23991935483870985,-0.002272859822493478
206,1983-03-01,0,173.0,0.2599999999999998,0.2400000000000002,0.11999999999999922,-0.17999999999999972,-0.21000000000000085,-0.102249488752557,0.0,4.900000000000006,0.3965999999999994,-0.09999999999999964,-0.45000000000000107,-0.0600000000000005,0.340999999999994,-0.16666666666666607,0.0021180580580102415,-0.2216501240694787,0.015509001734195671
207,1983-04-01,0,274.0,0.030000000000001137,-0.1399999999999988,-0.05999999999999872,-0.0600000000000005,-0.10999999999999943,0.715015321756898,1.0425600000000017,11.469999999999999,0.6021000000000001,-0.10000000000000142,0.02999999999999936,0.040000000000000924,0.2304333333333375,-0.06666666666666643,0.0006092035062119638,0.01153846153846072,-0.007147799430365476
208,1983-05-01,0,280.0,-0.16999999999999993,-0.02000000000000135,-0.08000000000000007,0.009999999999999787,-0.019999999999999574,-0.10649605198001899,0.0,-2.0400000000000205,0.34089999999999776,-0.09999999999999964,1.7763568394002505e-15,0.040000000000000924,0.4465333333333419,-0.09999999999999964,0.003973444881368859,-0.0032272325375769517,0.013354559766326268
209,1983-06-01,0,377.0,0.34999999999999964,0.5999999999999996,0.7599999999999998,0.6000000000000014,0.46999999999999886,-0.306099914938168,0.0,5.25,0.30049999999999955,0.0,-0.13000000000000078,0.07000000000000206,0.41450000000000387,-0.06666666666666643,0.002273942345697444,0.1146232439335888,-0.0021713346042575576
210,1983-07-01,0,416.0,0.3899999999999988,0.2900000000000009,0.5399999999999991,0.5800000000000001,0.5300000000000011,0.09959069541254706,0.45942999999999756,-5.079999999999984,0.764400000000002,-0.6999999999999993,0.2400000000000002,0.1899999999999995,0.4686000000000021,-0.2666666666666657,0.0015569655653546732,0.09652460679857977,0.0029498669714889125
211,1983-08-01,0,-308.0,0.19000000000000128,0.2599999999999998,0.33000000000000007,0.41999999999999993,0.46999999999999886,-0.101709749950956,0.0,1.8400000000000034,0.5720999999999989,0.09999999999999964,0.20999999999999908,0.3099999999999987,0.5456666666666621,-0.20000000000000107,-0.0065967826091624104,0.09589041095890294,0.0044134007166056755
212,1983-09-01,0,1118.0,-0.11000000000000121,-0.33999999999999986,-0.3699999999999992,-0.20000000000000107,-0.1999999999999993,0.198701695707671,0.0,1.6699999999999875,0.7849000000000004,-0.3000000000000007,0.14000000000000057,0.1566666666666645,0.7071333333333314,-0.3000000000000025,0.00820875485525141,0.1402890455291046,0.00939641263462887
